Surah_Number,Name,Top_Neighbor_1,Top_Neighbor_2,Top_Neighbor_3
58,Al-Mujadilah,At-Tawbah (9),Al-Hajj (22),Al-Kawthar (108)
59,Al-Hashr,Al-Ahzab (33),Al-Hujurat (49),Al-Fatihah (1)
60,Al-Mumtahanah,Muhammad (47),Al-Muzzammil (73),Al-Ma'idah (5)
61,As-Saff,Al-Asr (103),Al-Fath (48),Al-Anfal (8)
62,Al-Jumu'ah,Al-Fil (105),Al-Masad (111),Al-Jathiyah (45)
63,Al-Munafiqun,Al-Jinn (72),At-Tawbah (9),Al-Mujadilah (58)
64,At-Taghabun,Ibrahim (14),Az-Zumar (39),Al-Ankabut (29)
65,At-Talaq,Luqman (31),At-Taghabun (64),Nuh (71)
66,At-Tahrim,Ash-Shams (91),At-Tin (95),An-Nisa (4)
67,Al-Mulk,Al-Layl (92),Al-A'la (87),As-Sajdah (32)
68,Al-Qalam,Qaf (50),Ya-Sin (36),Az-Zukhruf (43)
69,Al-Haqqah,At-Tur (52),Sad (38),Al-Insan (76)
70,Al-Ma'arij,Ar-Rahman (55),An-Najm (53),Al-Furqan (25)
71,Nuh,Luqman (31),As-Sajdah (32),At-Taghabun (64)
72,Al-Jinn,Al-Insan (76),An-Nur (24),At-Tawbah (9)
73,Al-Muzzammil,Muhammad (47),Al-Mumtahanah (60),Al-Ma'idah (5)
74,Al-Muddaththir,Al-Muddaththir (74),Ad-Dukhan (44),Yusuf (12)
75,Al-Qiyamah,Al-Mutaffifin (83),Al-Mursalat (77),Al-Waqi'ah (56)
76,Al-Insan,At-Tur (52),Al-Haqqah (69),Al-Jinn (72)
77,Al-Mursalat,Al-Waqi'ah (56),Al-Mutaffifin (83),Al-Qiyamah (75)
78,An-Naba,Adh-Dhariyat (51),An-Nazi'at (79),Al-Infitar (82)
79,An-Nazi'at,Adh-Dhariyat (51),An-Naba (78),Al-Infitar (82)
80,Abasa,Al-Qiyamah (75),Al-Mutaffifin (83),Al-Buruj (85)
81,At-Takwir,Al-Qasas (28),Al-Qadr (97),Az-Zalzalah (99)
82,Al-Infitar,An-Naba (78),Adh-Dhariyat (51),An-Nazi'at (79)
83,Al-Mutaffifin,Al-Qiyamah (75),Al-Mursalat (77),Al-Waqi'ah (56)
84,Al-Inshiqaq,Al-Buruj (85),Abasa (80),An-Nazi'at (79)
85,Al-Buruj,Al-Inshiqaq (84),Abasa (80),An-Nazi'at (79)
86,At-Tariq,Al-Alaq (96),Al-Falaq (113),Al-Mulk (67)
87,Al-A'la,Al-Layl (92),Al-Mulk (67),Nuh (71)
88,Al-Ghashiyah,Al-Balad (90),Al-Bayyinah (98),Al-Insan (76)
89,Al-Fajr,As-Saffat (37),Ad-Duha (93),Al-Adiyat (100)
90,Al-Balad,Al-Bayyinah (98),Al-Ghashiyah (88),Al-Munafiqun (63)
91,Ash-Shams,At-Tin (95),At-Tahrim (66),Al-Asr (103)
92,Al-Layl,Al-Mulk (67),Al-A'la (87),As-Sajdah (32)
93,Ad-Duha,Al-Adiyat (100),Al-Fajr (89),As-Saffat (37)
94,Ash-Sharh,Al-Kafirun (109),At-Takathur (102),Al-Ma'un (107)
95,At-Tin,Ash-Shams (91),At-Tahrim (66),Al-Asr (103)
96,Al-Alaq,At-Tariq (86),Al-Falaq (113),Al-Mulk (67)
97,Al-Qadr,At-Takwir (81),At-Takathur (102),Ash-Sharh (94)
98,Al-Bayyinah,Al-Balad (90),Al-Ghashiyah (88),Al-Munafiqun (63)
99,Az-Zalzalah,Al-Qasas (28),Ad-Duha (93),Al-Adiyat (100)
100,Al-Adiyat,Al-Adiyat (100),Al-Fajr (89),As-Saffat (37)
101,Al-Qari'ah,Al-Humazah (104),Al-Balad (90),Al-Ghashiyah (88)
102,At-Takathur,Ash-Sharh (94),Al-Kafirun (109),Al-Qadr (97)
103,Al-Asr,As-Saff (61),At-Tin (95),Al-Fath (48)
104,Al-Humazah,Al-Qari'ah (101),Al-Balad (90),Al-Bayyinah (98)
105,Al-Fil,Al-Masad (111),Al-Jathiyah (45),Al-Jumu'ah (62)
106,Quraysh,An-Nas (114),Al-Kawthar (108),Al-Fatihah (1)
107,Al-Ma'un,Al-Jathiyah (45),Ash-Sharh (94),Al-Kafirun (109)
108,Al-Kawthar,Al-Fatihah (1),Al-Hashr (59),Al-Ahzab (33)
109,Al-Kafirun,Al-Kafirun (109),At-Takathur (102),Al-Ma'un (107)
110,An-Nasr,Quraysh (106),An-Nas (114),Al-Kawthar (108)
111,Al-Masad,Al-Masad (111),Al-Jathiyah (45),Al-Jumu'ah (62)
112,Al-Ikhlas,An-Nasr (110),Quraysh (106),An-Nas (114)
113,Al-Falaq,At-Tariq (86),Al-Alaq (96),Al-Mulk (67)
114,An-Nas,Al-Kawthar (108),Quraysh (106),Al-Fatihah (1)
